session_id,src_ip,dst_ip,src_port,dst_port,protocol,packet_count,byte_count,flow_count
192.168.1.38:None->36.236.64.74:None-6,192.168.1.38,36.236.64.74,,,6,2,340,1
92.247.174.151:None->192.168.1.38:None-6,92.247.174.151,192.168.1.38,,,6,49,76486,6
192.168.1.38:None->92.247.174.151:None-6,192.168.1.38,92.247.174.151,,,6,37,2315,5
217.42.82.216:None->192.168.1.38:None-17,217.42.82.216,192.168.1.38,,,17,106,147536,7
192.168.1.38:None->217.42.82.216:None-17,192.168.1.38,217.42.82.216,,,17,72,4666,7
81.84.97.11:None->192.168.1.38:None-6,81.84.97.11,192.168.1.38,,,6,22,33848,6
192.168.1.38:None->81.84.97.11:None-6,192.168.1.38,81.84.97.11,,,6,19,1209,6
20.42.65.90:None->192.168.1.38:None-6,20.42.65.90,192.168.1.38,,,6,1,62,1
192.168.1.38:None->20.42.65.90:None-6,192.168.1.38,20.42.65.90,,,6,2,625,1
67.174.154.26:None->192.168.1.38:None-6,67.174.154.26,192.168.1.38,,,6,79,120706,6
192.168.1.38:None->67.174.154.26:None-6,192.168.1.38,67.174.154.26,,,6,70,4161,6
91.170.48.164:None->192.168.1.38:None-6,91.170.48.164,192.168.1.38,,,6,2,108,2
192.168.1.38:None->77.91.229.218:None-6,192.168.1.38,77.91.229.218,,,6,1,62,1
104.16.102.112:None->192.168.1.38:None-6,104.16.102.112,192.168.1.38,,,6,4,598,1
192.168.1.38:None->104.16.102.112:None-6,192.168.1.38,104.16.102.112,,,6,2,151,1
192.168.1.38:None->188.51.226.235:None-6,192.168.1.38,188.51.226.235,,,6,36,2319,5
188.51.226.235:None->192.168.1.38:None-6,188.51.226.235,192.168.1.38,,,6,37,62714,4
192.168.1.38:None->71.183.90.8:None-6,192.168.1.38,71.183.90.8,,,6,2,126,2
192.168.1.38:None->217.79.74.139:None-17,192.168.1.38,217.79.74.139,,,17,2,142,2
192.168.1.38:None->178.162.173.134:None-6,192.168.1.38,178.162.173.134,,,6,2,126,2
192.168.1.38:None->91.170.48.164:None-6,192.168.1.38,91.170.48.164,,,6,2,126,2
192.168.1.38:None->83.219.212.56:None-6,192.168.1.38,83.219.212.56,,,6,2,126,2
192.168.1.38:None->184.160.237.73:None-6,192.168.1.38,184.160.237.73,,,6,1,63,1
192.168.1.38:None->174.95.50.173:None-6,192.168.1.38,174.95.50.173,,,6,2,126,2
74.108.225.98:None->192.168.1.38:None-6,74.108.225.98,192.168.1.38,,,6,1,54,1
23.55.244.27:None->192.168.1.38:None-6,23.55.244.27,192.168.1.38,,,6,33,48914,1
192.168.1.38:None->23.55.244.27:None-6,192.168.1.38,23.55.244.27,,,6,14,836,1
174.95.50.173:None->192.168.1.38:None-6,174.95.50.173,192.168.1.38,,,6,1,54,1
