session_id,src_ip,dst_ip,src_port,dst_port,protocol,packet_count,byte_count,flow_count
192.168.1.38:None->104.208.16.90:None-6,192.168.1.38,104.208.16.90,,,6,8,8166,1
192.168.1.38:None->9.9.9.9:None-17,192.168.1.38,9.9.9.9,,,17,1,92,1
89.181.158.238:None->192.168.1.38:None-6,89.181.158.238,192.168.1.38,,,6,55,102370,6
83.219.212.56:None->192.168.1.38:None-6,83.219.212.56,192.168.1.38,,,6,2,108,2
104.208.16.90:None->192.168.1.38:None-6,104.208.16.90,192.168.1.38,,,6,3,261,1
71.183.90.8:None->192.168.1.38:None-6,71.183.90.8,192.168.1.38,,,6,44,144376,5
178.162.173.134:None->192.168.1.38:None-6,178.162.173.134,192.168.1.38,,,6,2,108,2
192.168.1.38:None->83.219.212.56:None-6,192.168.1.38,83.219.212.56,,,6,3,189,3
174.95.50.173:None->192.168.1.38:None-6,174.95.50.173,192.168.1.38,,,6,1,54,1
192.168.1.38:None->77.91.229.218:None-6,192.168.1.38,77.91.229.218,,,6,1,62,1
184.160.237.73:None->192.168.1.38:None-6,184.160.237.73,192.168.1.38,,,6,1,54,1
192.168.1.38:None->89.181.158.238:None-6,192.168.1.38,89.181.158.238,,,6,41,2325,4
192.168.1.38:None->140.82.113.25:None-6,192.168.1.38,140.82.113.25,,,6,1,59,1
82.154.111.172:None->192.168.1.38:None-6,82.154.111.172,192.168.1.38,,,6,1,54,1
192.168.1.38:None->71.183.90.8:None-6,192.168.1.38,71.183.90.8,,,6,44,2495,4
192.168.1.38:None->217.79.74.139:None-17,192.168.1.38,217.79.74.139,,,17,1,71,1
192.168.1.38:None->178.162.173.134:None-6,192.168.1.38,178.162.173.134,,,6,2,126,2
192.168.1.38:None->188.51.226.235:None-6,192.168.1.38,188.51.226.235,,,6,2,126,2
192.168.1.38:None->184.160.237.73:None-6,192.168.1.38,184.160.237.73,,,6,1,63,1
192.168.1.38:None->174.95.50.173:None-6,192.168.1.38,174.95.50.173,,,6,1,63,1
188.51.226.235:None->192.168.1.38:None-6,188.51.226.235,192.168.1.38,,,6,1,54,1
192.168.1.38:None->172.64.155.209:None-17,192.168.1.38,172.64.155.209,,,17,6,6525,1
172.64.155.209:None->192.168.1.38:None-17,172.64.155.209,192.168.1.38,,,17,4,264,1
