timestamp,src_ip,dst_ip,protocol,severity,confidence,attack_type,reason
16:38:26,85.166.182.43,192.168.1.38,6,LOW,50%,Unusual Access,Detected unusual network behavior
16:38:26,192.168.1.38,85.166.182.43,6,LOW,50%,Unusual Access,Detected unusual network behavior
16:38:31,67.174.154.26,192.168.1.38,6,LOW,50%,Unusual Access,Detected unusual network behavior
16:38:31,192.168.1.38,67.174.154.26,6,LOW,50%,Unusual Access,Detected unusual network behavior
16:38:31,217.79.74.139,192.168.1.38,17,LOW,50%,Unusual Access,Detected unusual network behavior
16:38:31,91.170.48.164,192.168.1.38,6,LOW,50%,Unusual Access,Detected unusual network behavior
16:38:31,192.168.1.38,91.170.48.164,6,LOW,50%,Unusual Access,Detected unusual network behavior
16:38:31,217.42.82.216,192.168.1.38,17,LOW,50%,Unusual Access,Detected unusual network behavior
16:38:31,92.247.174.151,192.168.1.38,6,LOW,50%,Unusual Access,Detected unusual network behavior
16:38:31,192.168.1.38,92.247.174.151,6,LOW,50%,Unusual Access,Detected unusual network behavior
16:38:31,81.84.97.11,192.168.1.38,6,LOW,50%,Unusual Access,Detected unusual network behavior
16:38:31,192.168.1.38,81.84.97.11,6,LOW,50%,Unusual Access,Detected unusual network behavior
16:38:31,192.168.1.38,217.42.82.216,17,LOW,50%,Unusual Access,Detected unusual network behavior
16:38:31,192.168.1.38,104.208.16.90,6,LOW,50%,Unusual Access,Detected unusual network behavior
16:38:31,192.168.1.38,9.9.9.9,17,LOW,50%,Unusual Access,Detected unusual network behavior
16:38:31,89.181.158.238,192.168.1.38,6,LOW,50%,Unusual Access,Detected unusual network behavior
16:38:31,83.219.212.56,192.168.1.38,6,LOW,50%,Unusual Access,Detected unusual network behavior
16:38:31,104.208.16.90,192.168.1.38,6,LOW,50%,Unusual Access,Detected unusual network behavior
16:38:31,71.183.90.8,192.168.1.38,6,LOW,50%,Unusual Access,Detected unusual network behavior
16:38:31,178.162.173.134,192.168.1.38,6,LOW,50%,Unusual Access,Detected unusual network behavior
16:38:31,192.168.1.38,83.219.212.56,6,LOW,50%,Unusual Access,Detected unusual network behavior
16:38:31,174.95.50.173,192.168.1.38,6,LOW,50%,Unusual Access,Detected unusual network behavior
16:38:31,192.168.1.38,77.91.229.218,6,LOW,50%,Unusual Access,Detected unusual network behavior
16:38:31,184.160.237.73,192.168.1.38,6,LOW,50%,Unusual Access,Detected unusual network behavior
16:38:31,192.168.1.38,89.181.158.238,6,LOW,50%,Unusual Access,Detected unusual network behavior
16:38:31,192.168.1.38,140.82.113.25,6,LOW,50%,Unusual Access,Detected unusual network behavior
16:38:31,82.154.111.172,192.168.1.38,6,LOW,50%,Unusual Access,Detected unusual network behavior
16:38:31,192.168.1.38,71.183.90.8,6,LOW,50%,Unusual Access,Detected unusual network behavior
16:38:31,192.168.1.38,217.79.74.139,17,LOW,50%,Unusual Access,Detected unusual network behavior
16:38:31,192.168.1.38,178.162.173.134,6,LOW,50%,Unusual Access,Detected unusual network behavior
16:38:31,192.168.1.38,188.51.226.235,6,LOW,50%,Unusual Access,Detected unusual network behavior
16:38:31,192.168.1.38,184.160.237.73,6,LOW,50%,Unusual Access,Detected unusual network behavior
16:38:31,192.168.1.38,174.95.50.173,6,LOW,50%,Unusual Access,Detected unusual network behavior
16:38:31,188.51.226.235,192.168.1.38,6,LOW,50%,Unusual Access,Detected unusual network behavior
16:38:31,192.168.1.38,172.64.155.209,17,LOW,50%,Unusual Access,Detected unusual network behavior
16:38:31,172.64.155.209,192.168.1.38,17,LOW,50%,Unusual Access,Detected unusual network behavior
16:38:31,85.166.182.43,192.168.1.38,6,LOW,50%,Unusual Access,Detected unusual network behavior
16:38:31,192.168.1.38,85.166.182.43,6,LOW,50%,Unusual Access,Detected unusual network behavior
16:38:31,192.168.1.38,60.188.86.118,17,LOW,50%,Unusual Access,Detected unusual network behavior
16:38:36,67.174.154.26,192.168.1.38,6,LOW,50%,Unusual Access,Detected unusual network behavior
16:38:36,192.168.1.38,67.174.154.26,6,LOW,50%,Unusual Access,Detected unusual network behavior
16:38:36,217.79.74.139,192.168.1.38,17,LOW,50%,Unusual Access,Detected unusual network behavior
16:38:36,91.170.48.164,192.168.1.38,6,LOW,50%,Unusual Access,Detected unusual network behavior
16:38:36,192.168.1.38,91.170.48.164,6,LOW,50%,Unusual Access,Detected unusual network behavior
16:38:36,217.42.82.216,192.168.1.38,17,LOW,50%,Unusual Access,Detected unusual network behavior
16:38:36,92.247.174.151,192.168.1.38,6,LOW,50%,Unusual Access,Detected unusual network behavior
16:38:36,192.168.1.38,92.247.174.151,6,LOW,50%,Unusual Access,Detected unusual network behavior
16:38:36,81.84.97.11,192.168.1.38,6,LOW,50%,Unusual Access,Detected unusual network behavior
16:38:36,192.168.1.38,81.84.97.11,6,LOW,50%,Unusual Access,Detected unusual network behavior
16:38:36,192.168.1.38,217.42.82.216,17,LOW,50%,Unusual Access,Detected unusual network behavior
16:38:36,192.168.1.38,104.208.16.90,6,LOW,50%,Unusual Access,Detected unusual network behavior
16:38:36,192.168.1.38,9.9.9.9,17,LOW,50%,Unusual Access,Detected unusual network behavior
16:38:36,89.181.158.238,192.168.1.38,6,LOW,50%,Unusual Access,Detected unusual network behavior
16:38:36,83.219.212.56,192.168.1.38,6,LOW,50%,Unusual Access,Detected unusual network behavior
16:38:36,104.208.16.90,192.168.1.38,6,LOW,50%,Unusual Access,Detected unusual network behavior
16:38:36,71.183.90.8,192.168.1.38,6,LOW,50%,Unusual Access,Detected unusual network behavior
16:38:36,178.162.173.134,192.168.1.38,6,LOW,50%,Unusual Access,Detected unusual network behavior
16:38:36,192.168.1.38,83.219.212.56,6,LOW,50%,Unusual Access,Detected unusual network behavior
16:38:36,174.95.50.173,192.168.1.38,6,LOW,50%,Unusual Access,Detected unusual network behavior
16:38:36,192.168.1.38,77.91.229.218,6,LOW,50%,Unusual Access,Detected unusual network behavior
